Paquetes rcv,Tiempo instantaneo,Numero de paquete,Altitud BMP,Temperatura BMP ©,Presion mBar,Tension de la bateria V,Longitud,Latitud,Altitud GPS,Satelites GPS,Etapa de vuelo,GPS Hora,GPS Minutos,GPS Segundos,,,,
0,2073,0,2,50.23999786,988.7199707,7.980000019,9.991522789,-84.65306854,229.2999878,12,33,12,45,21.390625,,,, 
1,2073,1,2.359999895,50.21999741,988.6799927,7.980000019,9.991522789,-84.65306854,229.2999878,12,33,12,45,21.5,,,, 
2,2073,2,1.769999981,50.25,988.7399902,7.980000019,9.991522789,-84.65306854,229.2999878,12,33,12,45,21.59375,,,, 
3,2073,3,1.799999952,50.23999786,988.7399902,7.980000019,9.991522789,-84.65306854,229.2999878,12,33,12,45,21.703125,,,, 
4,2073,4,1.599999905,50.25,988.7599487,7.980000019,9.991522789,-84.65306854,229.2999878,12,33,12,45,21.796875,,,, 
5,2073,5,1.799999952,50.23999786,988.7399902,7.980000019,9.991522789,-84.65306854,229.2999878,12,33,12,45,21.921875,,,, 
6,2074,6,2.029999971,50.23999786,988.7099609,7.980000019,9.991522789,-84.65306854,229.2999878,12,33,12,45,22,,,, 
7,2074,7,1.669999981,50.25,988.7599487,7.980000019,9.991522789,-84.65306854,229.2999878,12,33,12,45,22.078125,,,, 
8,2074,8,2.059999943,50.23999786,988.7099609,7.980000019,9.991522789,-84.65306854,229.2999878,12,33,12,45,22.203125,,,, 
9,2074,9,1.769999981,50.25,988.7399902,7.980000019,9.991522789,-84.65306854,229.2999878,12,33,12,45,22.296875,,,, 
10,2074,10,2.159999847,50.23999786,988.6999512,7.980000019,9.991522789,-84.65306854,229.2999878,12,33,12,45,22.5,,,, 
11,2074,11,1.799999952,50.25,988.7399902,7.96999979,9.991522789,-84.65306854,229.2999878,12,33,12,45,22.59375,,,, 
12,2074,12,2.059999943,50.23999786,988.7099609,7.980000019,9.991522789,-84.65306854,229.2999878,12,33,12,45,22.703125,,,, 
13,2074,13,2.059999943,50.23999786,988.7099609,7.980000019,9.991522789,-84.65306854,229.2999878,12,33,12,45,22.796875,,,, 
14,2074,14,2,50.23999786,988.7199707,7.980000019,9.991522789,-84.65306854,229.2999878,12,33,12,45,22.921875,,,, 
15,2075,15,1.9,50.23999786,988.7299805,7.980000019,9.991522789,-84.65306854,229.2999878,12,33,12,45,23,,,, 
16,2075,16,2,50.25,988.7199707,7.980000019,9.991522789,-84.65306854,229.2999878,12,33,12,45,23.078125,,,, 
17,2075,17,1.639999962,50.25,988.7599487,7.980000019,9.991522789,-84.65306854,229.2999878,12,33,12,45,23.203125,,,, 
18,2075,18,2.329999924,50.23999786,988.6799927,7.980000019,9.991522789,-84.65306854,229.2999878,12,33,12,45,23.296875,,,, 
19,2075,19,2.129999876,50.23999786,988.6999512,7.980000019,9.991522789,-84.65306854,229.2999878,12,33,12,45,23.390625,,,, 
20,2075,20,1.799999952,50.23999786,988.7399902,7.980000019,9.991522789,-84.65306854,229.2999878,12,33,12,45,23.5,,,, 
21,2075,21,2.230000019,50.22999954,988.6900024,7.980000019,9.991522789,-84.65306854,229.2999878,12,33,12,45,23.59375,,,, 
22,2075,22,1.929999924,50.23999786,988.7299805,7.980000019,9.991522789,-84.65306854,229.2999878,12,33,12,45,23.796875,,,, 
23,2075,23,1.769999981,50.25,988.7399902,7.980000019,9.991522789,-84.65306854,229.2999878,12,33,12,45,23.921875,,,, 
24,2076,24,1.769999981,50.23999786,988.7399902,7.980000019,9.991522789,-84.65306854,229.2999878,12,33,12,45,24,,,, 
25,2076,25,1.959999943,50.23999786,988.7199707,7.980000019,9.991522789,-84.65306854,229.2999878,12,33,12,45,24.078125,,,, 
26,2076,26,2.029999971,50.22999954,988.7099609,7.980000019,9.991522789,-84.65306854,229.2999878,12,33,12,45,24.203125,,,, 
